profile_id,module,measurement_direction,payload_bytes,tx_power_dbm,spreading_factor,bandwidth_khz,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,event_duration_ms_mean,event_duration_ms_stdev,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max,source_directory
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,8,22.0,7,125.0,5,5,5,5,0,0.0,43.26,0.0,4582.917806540621,11041.948435699227,654.248180226126,2.0615692282445433,0.654248180226126,0.31510507641488716,0.21028571428571427,0.5257142857142857,20260719_180845_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,32,22.0,7,125.0,5,5,5,5,0,0.0,79.10000000000001,0.0,4539.866397003094,11387.591163238205,1185.0413256097174,2.5354576678994025,1.1850413256097174,0.2139552109370431,0.3272169987159839,0.3272169987159839,20260719_180907_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,128,22.0,7,125.0,5,5,5,5,0,0.0,222.45999999999998,0.0,4516.903183463375,11210.331635633864,3315.939931237766,2.5977790452755682,3.3159399312377658,0.07834216237764824,0.14599812599420367,0.14599812599420367,20260719_180930_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,8,22.0,9,125.0,5,5,5,5,0,0.0,152.57000000000002,0.0,4494.883895617956,10205.021477249229,2263.0886386496245,2.645135765600773,2.2630886386496245,0.11688166872593707,0.0,0.0,20260719_180954_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,32,22.0,9,125.0,5,5,5,5,0,0.0,275.45,0.0,4491.451295537556,11252.37446834379,4082.6618558742057,3.740635284634298,4.082661855874206,0.09162246144025389,0.1212905312525269,0.12129053125252688,20260719_181018_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,128,22.0,9,125.0,5,5,5,5,0,0.0,705.53,0.0,4489.713733038248,10606.750956139684,10453.171509232567,16.510166362097138,10.453171509232567,0.15794408756725023,0.08280413001522322,0.20701032503805805,20260719_181043_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,8,22.0,12,125.0,5,5,5,5,0,0.0,1220.6,0.0,4459.984471852081,10816.95847470858,17964.728252930745,5.349778811863464,17.964728252930744,0.02977934726616701,0.10064803206610987,0.10064803206610987,20260719_181113_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,32,22.0,12,125.0,5,5,5,5,0,0.0,2039.8,0.0,4470.713381537086,11079.34867758331,30093.89181367585,8.985766102778898,30.09389181367585,0.029859102831942166,0.06763090138939974,0.06763090138939974,20260719_181149_radio_ra01sh_sx1262_rx
RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,128,22.0,12,125.0,5,5,5,5,0,0.0,5152.76,0.0,4478.591326221709,10961.277580814009,76154.45059893718,29.449043700073236,76.15445059893719,0.03867015449322174,0.01650441724223071,0.01650441724223071,20260719_181236_radio_ra01sh_sx1262_rx
