run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-18T20:00:48+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,-4.0,,,7.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,343,23.77777777777778,6094848.0,6000000.0,60.0,0.002493847415914684,11669.444609598877,11725.71606250099,11586.387083766469,1072.0368699415394,18568.334172907056,0.0,38.235077376429345,3.53772167080708,61.275502770593285,0.0,2294.1046425857608,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225849_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_002,2026-07-18T20:02:41+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,10.0,,,7.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,350,22.22222222222222,6094848.0,6000000.0,60.0,0.002493847415914684,11666.058447769525,11725.71606250099,11741.540785205272,1040.0111181905686,18351.925248997653,75.48233743574747,38.7470845911774,3.4320366900288763,60.56135332169226,0.24909171353796664,2324.8250754706437,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225849_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_003,2026-07-18T20:04:35+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,20.0,,,7.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,347,22.88888888888889,6094848.0,6000000.0,60.0,0.002493847415914684,11671.737401069608,11725.71606250099,12260.032346892303,1014.209740607544,18561.7106989626,588.2949458226958,40.4581067447446,3.346892144004895,61.25364530657658,1.9413733212148963,2427.486404684676,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225849_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_001,2026-07-18T20:06:35+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,-4.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60001.0,148.0,9472.0,96,35.13513513513514,6095360.0,6000000.0,60.0,0.0,11668.492276021834,11725.71606250099,11619.247952897507,954.958512082435,18584.70922277881,0.0,38.34351824456177,3.1513630898720355,61.32954043517007,0.0,2300.6110946737062,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_230437_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_002,2026-07-18T20:08:28+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,10.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,108,27.027027027027028,6094848.0,6000000.0,60.0,0.002493847415914684,11678.862379438231,11725.71606250099,11790.557289213706,920.0682969412636,17892.568806389318,111.69490977547503,38.90883905440523,3.03622537990617,59.045477061084746,0.3685932022590676,2334.5303432643136,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_230437_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_003,2026-07-18T20:10:22+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,20.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,108,27.027027027027028,6094848.0,6000000.0,60.0,0.002493847415914684,11675.721630344833,11725.71606250099,12312.497434014573,875.2897194331629,18704.474364223966,636.7758036697396,40.63124153224809,2.8884560741294374,61.72476540193909,2.1013601521101406,2437.8744919348856,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_230437_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_001,2026-07-18T20:12:22+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,-4.0,,,12.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,17,22.727272727272727,6094848.0,6000000.0,60.0,0.002493847415914684,11731.77459727059,11771.79250017952,11655.698203385351,908.1392184794214,18554.63610327561,0.0,38.46380407117166,2.9968594209820907,61.230299140809514,0.0,2307.8282442702994,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_231023_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_002,2026-07-18T20:14:15+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,10.0,,,12.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,16,27.272727272727273,6094848.0,6000000.0,60.0,0.002493847415914684,11713.490196339193,11771.79250017952,11803.06485472924,866.8933993231417,18039.035638630998,89.57465839004726,38.95011402060649,2.8607482177663677,59.52881760748229,0.29559637268715594,2337.0068412363894,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_231023_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_003,2026-07-18T20:16:09+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,rx,COM23,COM24,COM11,3300.0,20.0,,,12.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,17,22.727272727272727,6094848.0,6000000.0,60.0,0.002493847415914684,11707.48041486198,11771.79250017952,12329.582707176285,811.7415373995465,18419.039571501766,622.1022923143046,40.68762293368174,2.6787470734185033,60.78283058595583,2.052937564637205,2441.2573760209043,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_231023_radio_sx1278_adafruit_level_shifter_continuous_rx
continuous_001,2026-07-18T19:55:08+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,tx,COM23,,COM11,3300.0,-4.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6095360.0,6000000.0,60.0,0.0,2016.0301857794627,2023.135446017688,11759.5782237421,1170.5662106619366,20376.887974200956,9743.548037962639,38.806608138348935,3.8628684951843906,67.24373031486316,32.153708525276706,2328.396488300936,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225312_radio_sx1278_adafruit_level_shifter_continuous_tx
continuous_002,2026-07-18T19:57:01+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,tx,COM23,,COM11,3300.0,10.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,2018.5232015540842,2027.5241170077427,30608.584295218596,2550.4214128805484,35586.117486467854,28590.06109366451,101.00832817422136,8.41639066250581,117.43418770534392,94.34720160909288,6060.499690453282,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225312_radio_sx1278_adafruit_level_shifter_continuous_tx
continuous_003,2026-07-18T19:58:48+00:00,RADIO_SX1278_ADAFRUIT_LEVEL_SHIFTER,SX1278-Adafruit-LevelShifter,tx,COM23,,COM11,3300.0,20.0,,,9.0,125.0,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,2016.4357051809727,2023.135446017688,77373.20284374846,6731.646469539926,92997.63190030205,75356.76713856748,255.3315693843699,22.214433349481755,306.8921852709968,248.67733155727268,15319.894163062196,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260718_225312_radio_sx1278_adafruit_level_shifter_continuous_tx
